date,cif_yen_per_mt,quantity_mant
2015-01,11334,1286.1
2015-02,11050,1098.3
2015-03,11096,1170.7
2015-04,11261,1145.2
2015-05,10951,809.0
2015-06,10807,1146.4
2015-07,10623,1276.3
2015-08,10497,1256.4
2015-09,9819,1208.9
2015-10,9634,1118.5
2015-11,9587,1253.0
2015-12,9399,1200.2
2016-01,9145,1188.9
2016-02,8853,1139.6
2016-03,8250,1207.9
2016-04,8377,976.4
2016-05,8225,1120.0
2016-06,8120,1047.0
2016-07,7856,1210.6
2016-08,7922,1030.4
2016-09,8080,1255.8
2016-10,9003,1317.1
2016-11,10568,1205.8
2016-12,12964,1260.3
2017-01,13638,1283.3
2017-02,14045,1102.2
2017-03,15162,1164.2
2017-04,14222,1078.5
2017-05,14859,1059.6
2017-06,13750,1315.3
2017-07,12694,1223.1
2017-08,12644,1233.6
2017-09,12900,1105.8
2017-10,13253,1220.6
2017-11,13662,1188.0
2017-12,13897,1380.2
2018-01,14384,1178.9
2018-02,14653,1194.6
2018-03,14008,1222.5
2018-04,15069,1200.2
2018-05,15209,1226.4
2018-06,14992,1069.4
2018-07,14926,1212.2
2018-08,15638,1393.6
2018-09,15646,1201.9
2018-10,15938,1153.9
2018-11,16013,1369.5
2018-12,16201,1165.1
2019-01,15140,1307.6
2019-02,14919,1112.3
2019-03,15331,1243.5
2019-04,15698,1174.0
2019-05,14726,1044.5
2019-06,14370,1044.1
2019-07,13602,1329.2
2019-08,13515,1140.3
2019-09,12759,1153.9
2019-10,12928,1237.8
2019-11,12447,1133.8
2019-12,11998,1355.1
2020-01,11781,1286.3
2020-02,11420,1080.5
2020-03,11018,1242.9
2020-04,11270,1259.0
2020-05,10124,924.1
2020-06,10003,1047.5
2020-07,9355,1069.5
2020-08,9220,993.9
2020-09,8707,997.1
2020-10,8895,1190.9
2020-11,8932,1108.5
2020-12,8880,1183.1
2021-01,9257,1274.5
2021-02,10083,1286.3
2021-03,10656,1111.6
2021-04,11791,1038.5
2021-05,12313,1098.2
2021-06,13256,1023.7
2021-07,14300,1279.9
2021-08,16432,1234.0
2021-09,18295,1292.9
2021-10,19794,1204.5
2021-11,23746,1340.7
2021-12,24651,1214.1
2022-01,25020,1332.3
2022-02,26600,1111.9
2022-03,28693,1333.2
2022-04,36066,1043.5
2022-05,44697,1140.4
2022-06,49177,1142.2
2022-07,53459,1182.5
2022-08,50410,1377.7
2022-09,50939,1163.1
2022-10,53731,1120.1
2022-11,54657,1172.5
2022-12,50140,1272.3
2023-01,46906,1302.4
2023-02,45138,1089.7
2023-03,42875,1061.1
2023-04,39939,1011.5
2023-05,35948,887.5
2023-06,33245,997.3
2023-07,31605,1039.4
2023-08,30278,1094.5
2023-09,29116,983.6
2023-10,30748,1108.2
2023-11,31191,1034.6
2023-12,29213,1107.1
2024-01,29094,1174.6
2024-02,30071,963.1
2024-03,30106,984.1
2024-04,31043,1042.7
2024-05,30332,849.2
2024-06,28429,854.7
2024-07,28002,1112.7
2024-08,26782,1124.1
2024-09,24451,1225.0
2024-10,25574,1051.1
2024-11,25859,1052.9
2024-12,24757,1271.8
2025-01,24929,1248.7
2025-02,23341,1028.8
2025-03,21584,998.1
2025-04,20699,949.3
2025-05,19897,803.7
2025-06,19696,802.8
2025-07,19262,1194.9
2025-08,19736,1315.3
2025-09,19886,958.3
2025-10,20451,1178.3
2025-11,20169,1006.9
2025-12,21001,1109.2
2026-01,21535,1226.5
2026-02,21479,1070.9
2026-03,22327,1002.3
