date,cif_yen_per_mt,quantity_mant
2016-02,47556,743.3
2016-03,42399,814.9
2016-04,36326,638.2
2016-05,33249,552.3
2016-06,32878,626.0
2016-07,34189,657.8
2016-08,35128,772.4
2016-09,37349,667.1
2016-10,38599,628.2
2016-11,39926,754.5
2016-12,42836,754.9
2017-01,44995,830.2
2017-02,46213,779.0
2017-03,45281,814.3
2017-04,46899,657.3
2017-05,49613,623.9
2017-06,47884,618.5
2017-07,48434,681.7
2017-08,47605,725.9
2017-09,46494,582.1
2017-10,45630,613.7
2017-11,46340,641.1
2017-12,47459,795.3
2018-01,50606,826.3
2018-02,51688,829.4
2018-03,52224,793.4
2018-04,52822,560.8
2018-05,54676,640.7
2018-06,56005,554.7
2018-07,56745,681.3
2018-08,58917,757.4
2018-09,61591,627.4
2018-10,63941,653.8
2018-11,64438,634.5
2018-12,65386,725.4
2019-01,63308,754.7
2019-02,62884,735.0
2019-03,60953,729.5
2019-04,55607,562.7
2019-05,54666,556.8
2019-06,53068,520.0
2019-07,53300,682.2
2019-08,56053,610.1
2019-09,52884,643.9
2019-10,52309,630.0
2019-11,53130,627.1
2019-12,53338,680.7
2020-01,52477,751.3
2020-02,52865,664.2
2020-03,53302,720.9
2020-04,51671,519.6
2020-05,51669,458.0
2020-06,45726,526.1
2020-07,40533,603.6
2020-08,32640,584.0
2020-09,30370,650.4
2020-10,31854,594.3
2020-11,34864,601.9
2020-12,38569,772.2
2021-01,45431,806.0
2021-02,50708,806.9
2021-03,42023,712.7
2021-04,44482,497.5
2021-05,47658,495.3
2021-06,51622,570.7
2021-07,55746,618.9
2021-08,57814,629.8
2021-09,61383,541.0
2021-10,68473,462.8
2021-11,84376,586.4
2021-12,84928,703.6
2022-01,82112,678.6
2022-02,94979,710.8
2022-03,87752,650.5
2022-04,100820,557.4
2022-05,104776,576.0
2022-06,101678,580.4
2022-07,127552,616.3
2022-08,140003,627.4
2022-09,164765,532.5
2022-10,156244,508.7
2022-11,135079,554.9
2022-12,134674,606.2
2023-01,127416,682.3
2023-02,118297,640.2
2023-03,102714,572.3
2023-04,91371,453.0
2023-05,89032,461.4
2023-06,86487,453.0
2023-07,88358,509.0
2023-08,89001,567.3
2023-09,87512,552.6
2023-10,91845,541.3
2023-11,92990,533.0
2023-12,101017,649.6
2024-01,101684,610.9
2024-02,99053,602.5
2024-03,95349,555.0
2024-04,88785,528.5
2024-05,92452,487.2
2024-06,93433,456.7
2024-07,95841,562.1
2024-08,94697,573.0
2024-09,90376,543.1
2024-10,91204,529.2
2024-11,95809,505.0
2024-12,94493,636.0
2025-01,100344,664.1
2025-02,94287,587.5
2025-03,90708,515.1
2025-04,88447,537.4
2025-05,86589,466.4
2025-06,85308,444.0
2025-07,84925,526.7
2025-08,84648,535.7
2025-09,82299,515.6
2025-10,81730,578.2
2025-11,84139,473.0
2025-12,85815,653.8
2026-01,87483,624.4
2026-02,85391,582.0
