date,n_total,n_tanker
2019-01-01,55,35
2019-01-02,65,42
2019-01-03,75,50
2019-01-04,66,41
2019-01-05,62,33
2019-01-06,59,35
2019-01-07,79,56
2019-01-08,55,31
2019-01-09,48,25
2019-01-10,68,39
2019-01-11,66,42
2019-01-12,62,39
2019-01-13,48,26
2019-01-14,55,31
2019-01-15,56,30
2019-01-16,74,40
2019-01-17,55,39
2019-01-18,58,38
2019-01-19,55,34
2019-01-20,74,47
2019-01-21,62,38
2019-01-22,63,38
2019-01-23,62,44
2019-01-24,50,34
2019-01-25,54,34
2019-01-26,78,50
2019-01-27,60,38
2019-01-28,80,43
2019-01-29,55,34
2019-01-30,59,36
2019-01-31,57,32
2019-02-01,61,45
2019-02-02,50,31
2019-02-03,60,37
2019-02-04,56,37
2019-02-05,60,31
2019-02-06,62,33
2019-02-07,61,36
2019-02-08,64,41
2019-02-09,61,43
2019-02-10,68,45
2019-02-11,44,27
2019-02-12,57,34
2019-02-13,53,28
2019-02-14,70,38
2019-02-15,67,43
2019-02-16,70,41
2019-02-17,66,40
2019-02-18,75,47
2019-02-19,65,33
2019-02-20,79,51
2019-02-21,68,40
2019-02-22,78,44
2019-02-23,79,50
2019-02-24,77,44
2019-02-25,75,43
2019-02-26,55,29
2019-02-27,60,36
2019-02-28,70,41
2019-03-01,72,50
2019-03-02,57,35
2019-03-03,68,47
2019-03-04,70,46
2019-03-05,64,41
2019-03-06,86,52
2019-03-07,71,43
2019-03-08,75,46
2019-03-09,75,46
2019-03-10,50,36
2019-03-11,45,25
2019-03-12,57,39
2019-03-13,71,41
2019-03-14,69,38
2019-03-15,59,36
2019-03-16,61,36
2019-03-17,65,41
2019-03-18,66,47
2019-03-19,80,44
2019-03-20,69,43
2019-03-21,77,46
2019-03-22,58,41
2019-03-23,59,30
2019-03-24,66,40
2019-03-25,50,30
2019-03-26,58,33
2019-03-27,62,39
2019-03-28,79,49
2019-03-29,87,48
2019-03-30,106,71
2019-03-31,71,41
2019-04-01,67,43
2019-04-02,58,30
2019-04-03,67,37
2019-04-04,54,38
2019-04-05,89,51
2019-04-06,79,51
2019-04-07,66,44
2019-04-08,76,49
2019-04-09,93,59
2019-04-10,60,34
2019-04-11,65,40
2019-04-12,74,49
2019-04-13,69,42
2019-04-14,60,35
2019-04-15,75,46
2019-04-16,80,50
2019-04-17,82,48
2019-04-18,102,59
2019-04-19,91,62
2019-04-20,97,59
2019-04-21,89,47
2019-04-22,80,40
2019-04-23,72,41
2019-04-24,66,45
2019-04-25,69,39
2019-04-26,64,41
2019-04-27,97,60
2019-04-28,77,40
2019-04-29,96,54
2019-04-30,73,43
2019-05-01,85,52
